0,1,2,3,4,5
hyp,P>|t|,t,rsquared_adj,nobs,conditions
PIET-1_fs, 0.000,    4.866,0.0986,654,"['brainseg', 'fiq>0', 'normDev', 'fs']"
PIET-1_fsl, 0.004,    2.885,0.0781,649,"['fiq>0', 'normDev', 'fsl']"
PIET-1_ants, 0.000,    3.869,0.0964,542,"['bvol', 'fiq>0', 'normDev', 'ants']"
MAC-1-fs, 0.000,    4.827,0.115,535,"['fiq>0', 'normDev', 'left', 'age<20', 'fs']"
MAC-1-fsl, 0.000,    4.365,0.108,531,"['fiq>0', 'normDev', 'left', 'age<20', 'fsl']"
MAC-1-ants, 0.000,    4.617,0.117,488,"['fiq>0', 'normDev', 'left', 'age<20', 'ants']"
MAC-2-fs, 0.000,    4.536,0.133,405,"['fiq>0', 'normDev', 'left', 'age<20', 'male', 'fs']"
MAC-2-fsl, 0.000,    4.303,0.127,402,"['fiq>0', 'normDev', 'left', 'age<20', 'male', 'fsl']"
MAC-2-ants, 0.000,    4.062,0.136,365,"['fiq>0', 'normDev', 'left', 'age<20', 'male', 'ants']"
MAC-3-fs, 0.017,    2.428,0.105,130,"['fiq>0', 'normDev', 'left', 'age<20', 'female', 'fs']"
MAC-3-fsl, 0.278,    1.091,0.0742,129,"['fiq>0', 'normDev', 'left', 'age<20', 'female', 'fsl']"
MAC-3-ants, 0.020,    2.368,0.0927,123,"['fiq>0', 'normDev', 'left', 'age<20', 'female', 'ants']"
GANJ-1, 0.560,    0.584,0.108,535,"['fiq>0', 'normDev', 'left', 'age<20']"
GANJ-2, 0.550,    0.599,0.0928,270,"['fiq>0', 'normDev', 'left', 'age<12']"
GANJ-3, 0.742,    0.330,0.092,384,"['fiq>0', 'normDev', 'left', 'age>=12']"
GANJ-4, 0.415,    0.818,0.117,191,"['fiq>0', 'normDev', 'left', 'age<12', 'male']"
GANJ-5, 0.962,    0.048,-0.0349, 79,"['fiq>0', 'normDev', 'left', 'age<12', 'female']"
